City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,kavieng,-2.57,150.8,82.81,73,96,6.38,PG,1586195103
140,lasa,46.62,10.7,71.6,42,5,1.12,IT,1586195250
141,tasiilaq,65.61,-37.64,26.6,92,75,3.36,GL,1586195250
142,trapani,37.83,12.67,61.0,87,20,6.93,IT,1586195250
143,narsaq,60.92,-46.05,28.4,39,20,9.17,GL,1586195250
144,norman wells,65.28,-126.83,15.8,66,40,3.36,CA,1586195250
145,tautira,-17.73,-149.15,80.6,78,3,2.24,PF,1586195250
146,ustka,54.58,16.86,53.44,58,0,11.39,PL,1586195250
147,aksu,41.12,80.26,59.34,21,27,4.54,CN,1586195194
148,novoagansk,61.94,76.66,33.31,93,100,4.34,RU,1586195251
149,georgetown,5.41,100.34,84.2,88,20,3.36,MY,1586195251
150,haapiti,-17.57,-149.87,80.6,78,0,2.24,PF,1586195251
151,melilla,35.29,-2.94,62.6,77,75,6.93,ES,1586195251
152,cap-aux-meules,47.38,-61.86,37.4,64,20,21.92,CA,1586195042
153,pingyin,36.28,116.45,63.0,37,21,7.43,CN,1586195251
154,sibu,2.3,111.82,77.0,94,75,2.24,MY,1586195251
155,kaka,37.35,59.61,60.17,50,0,3.4,TM,1586195251
156,lazaro cardenas,17.96,-102.2,85.59,47,2,7.2,MX,1586195251
157,longyearbyen,78.22,15.64,6.8,65,40,11.41,SJ,1586195027
158,lagunas,-5.23,-75.68,94.69,46,62,2.8,PE,1586195251
159,juneau,58.3,-134.42,39.2,55,90,9.17,US,1586195197
160,nemuro,43.32,145.57,34.39,89,52,12.12,JP,1586194961
161,faya,18.39,42.45,71.6,40,20,11.41,SA,1586195251
162,atar,20.52,-13.05,96.03,11,0,15.3,MR,1586195218
163,rio grande,-32.03,-52.1,87.8,33,65,13.87,BR,1586195000
164,yulara,-25.24,130.99,64.4,34,72,6.93,AU,1586195202
165,mazagao,-0.12,-51.29,93.2,67,75,14.99,BR,1586195252
166,lorengau,-2.02,147.27,82.02,80,58,11.61,PG,1586195252
167,antofagasta,-23.65,-70.4,68.0,77,20,13.87,CL,1586195252
168,byron bay,-28.65,153.62,69.01,82,32,8.05,AU,1586195252
169,hofn,64.25,-15.21,39.2,69,20,24.16,IS,1586195153
170,kati,12.74,-8.07,107.6,6,0,5.82,ML,1586195252
171,hay river,60.82,-115.8,28.4,54,40,12.75,CA,1586195252
172,fortuna,40.6,-124.16,54.0,66,20,5.86,US,1586195252
173,vilyuysk,63.76,121.62,31.68,95,100,5.57,RU,1586195252
174,yerbogachen,61.28,108.01,25.45,93,28,4.56,RU,1586195124
175,nueva concepcion,14.2,-91.3,95.0,52,20,4.7,GT,1586195252
176,beyneu,45.32,55.2,42.57,63,87,23.02,KZ,1586195252
177,praia,14.92,-23.51,82.4,45,20,17.22,CV,1586195034
178,henties bay,-22.12,14.28,62.01,88,8,4.0,NA,1586195118
179,saint augustine,29.89,-81.31,80.01,56,75,8.05,US,1586194983
180,sur,22.57,59.53,83.44,44,0,5.03,OM,1586195252
181,carnarvon,-24.87,113.63,73.4,83,12,13.87,AU,1586195253
182,ambulu,-8.35,113.61,78.15,79,91,2.95,ID,1586195253
183,cayambe,0.05,-78.13,78.8,31,75,10.29,EC,1586195253
184,zapolyarnyy,69.42,30.81,26.6,63,100,17.22,RU,1586195253
185,colares,38.8,-9.45,62.01,100,90,17.22,PT,1586195200
186,dikson,73.51,80.55,8.78,97,98,8.95,RU,1586195253
187,budogoshch,59.28,32.47,32.41,86,84,2.35,RU,1586195253
188,fairbanks,64.84,-147.72,15.8,78,90,19.46,US,1586195063
189,sinnamary,5.38,-52.95,82.31,77,100,13.27,GF,1586195253
190,krasnyy chikoy,50.36,108.75,31.24,62,1,4.23,RU,1586195253
191,carauari,-4.88,-66.9,87.91,72,99,1.25,BR,1586195253
192,ozernovskiy,51.5,156.52,32.77,90,100,17.05,RU,1586195113
193,hirara,24.8,125.28,66.11,87,100,11.43,JP,1586195253
194,mayumba,-3.43,10.66,81.63,85,73,5.7,GA,1586195253
195,borgentreich,51.57,9.24,66.2,34,0,8.05,DE,1586195254
196,coquimbo,-29.95,-71.34,68.0,68,18,12.75,CL,1586195210
197,salinopolis,-0.61,-47.36,83.55,81,100,13.09,BR,1586195254
198,khatanga,71.97,102.5,26.87,98,99,4.81,RU,1586195254
199,jaru,-10.44,-62.47,89.85,66,86,1.66,BR,1586195254
200,sao paulo de olivenca,-3.38,-68.87,89.76,63,99,3.27,BR,1586195255
201,boa vista,2.82,-60.67,93.2,49,75,12.75,BR,1586195026
